Year;Site;Species;Iteration;PTD;Biweek;Global_radiation;Min_Temperature;Max_temperature;Av_temperature;Relative humidity;Precipitation;Vapor_pressure_deficit
2019;PB;Fagus;14;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;14;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;15;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;21;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;23;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;27;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;33;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;48;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;67;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;73;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;81;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;95;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;116;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;147;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;152;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2019;PB;Quercus;160;207;15;12551.89;19.7;33.9;26.0;53.15;0.29;1.96
2018;BB;Populus;30;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;BB;Populus;142;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;BB;Populus;173;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;KS;Fagus;10;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;KS;Fagus;41;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;KS;Fagus;42;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;KS;Fagus;88;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;KS;Fagus;105;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;KS;Fagus;129;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;KS;Fagus;133;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2018;KS;Fagus;140;208;15;7923.54;23.1;35.5;29.0;31.85;0;3.38
2019;PB;Quercus;1;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;8;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;13;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;37;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;45;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;47;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;49;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;51;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;52;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;70;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;74;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;80;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;83;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;84;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;86;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;99;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;109;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;112;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;128;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;129;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;138;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;145;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;153;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;166;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;170;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;171;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;187;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2019;PB;Quercus;191;208;15;2764.74;17.9;20.5;19.4;89.23;4.64;0.25
2018;BB;Populus;43;209;15;7956.85;18.6;23.9;21.4;57.15;1.595;1.20
2018;BB;Populus;47;209;15;7956.85;18.6;23.9;21.4;57.15;1.595;1.20
2018;BB;Populus;84;209;15;7956.85;18.6;23.9;21.4;57.15;1.595;1.20
2018;BB;Populus;88;209;15;7956.85;18.6;23.9;21.4;57.15;1.595;1.20
2018;BB;Populus;94;209;15;7956.85;18.6;23.9;21.4;57.15;1.595;1.20
